status,run_name,model_name,graph_type,horizon,seed,mae,rmse,masked_mape,is_synthetic_data
success,metr_la_5090_graph_wavenet_lite_physical_h12_s42,graph_wavenet_lite,physical,12.0,42.0,4.899028895948124,12.13151670541369,11.013121734135629,False
success,metr_la_5090_graph_wavenet_lite_physical_h12_s43,graph_wavenet_lite,physical,12.0,43.0,4.866775173133136,12.091085005835252,11.132352687679013,False
success,metr_la_5090_graph_wavenet_lite_physical_h12_s44,graph_wavenet_lite,physical,12.0,44.0,4.890791487022387,12.192047348689783,11.266465276587802,False
success,metr_la_5090_graph_wavenet_lite_correlation_h3_s42,graph_wavenet_lite,correlation,3.0,42.0,3.1166523008917686,8.065214678534183,7.263015290893934,False
success,metr_la_5090_graph_wavenet_lite_correlation_h3_s43,graph_wavenet_lite,correlation,3.0,43.0,3.101465623293681,8.067822003670472,7.205742473040037,False
success,metr_la_5090_graph_wavenet_lite_correlation_h3_s44,graph_wavenet_lite,correlation,3.0,44.0,3.102195742776652,8.06719447807037,7.232316951079822,False
success,metr_la_5090_graph_wavenet_lite_correlation_h6_s42,graph_wavenet_lite,correlation,6.0,42.0,3.768217466682397,9.778371400033775,8.756441622909568,False
success,metr_la_5090_graph_wavenet_lite_correlation_h6_s43,graph_wavenet_lite,correlation,6.0,43.0,3.776231390624815,9.800089936801477,8.654173345198334,False
success,metr_la_5090_graph_wavenet_lite_correlation_h6_s44,graph_wavenet_lite,correlation,6.0,44.0,3.766466308246981,9.763973208128778,8.702552117965398,False
success,metr_la_5090_graph_wavenet_lite_correlation_h12_s42,graph_wavenet_lite,correlation,12.0,42.0,4.810889140472948,11.986570596659845,11.064915683708675,False
success,metr_la_5090_graph_wavenet_lite_correlation_h12_s43,graph_wavenet_lite,correlation,12.0,43.0,4.80054593828741,12.014328103456993,11.010492793732912,False
success,metr_la_5090_graph_wavenet_lite_correlation_h12_s44,graph_wavenet_lite,correlation,12.0,44.0,4.820257137163365,12.062814876616686,11.037052961757894,False
success,metr_la_5090_graph_wavenet_lite_adaptive_h3_s42,graph_wavenet_lite,adaptive,3.0,42.0,3.1208417666210724,8.089228274772367,7.280676445607708,False
success,metr_la_5090_graph_wavenet_lite_adaptive_h3_s43,graph_wavenet_lite,adaptive,3.0,43.0,3.1164225254168776,8.085883892015953,7.237893239430473,False
success,metr_la_5090_graph_wavenet_lite_adaptive_h3_s44,graph_wavenet_lite,adaptive,3.0,44.0,3.1163268686073127,8.074515788554168,7.287992101025277,False
success,metr_la_5090_graph_wavenet_lite_adaptive_h6_s42,graph_wavenet_lite,adaptive,6.0,42.0,3.798097917341351,9.791873883957741,8.768929546739281,False
success,metr_la_5090_graph_wavenet_lite_adaptive_h6_s43,graph_wavenet_lite,adaptive,6.0,43.0,3.8004640077385075,9.808189455332588,8.864002383976562,False
success,metr_la_5090_graph_wavenet_lite_adaptive_h6_s44,graph_wavenet_lite,adaptive,6.0,44.0,3.794927782339174,9.797817145352528,8.768766786649628,False
success,metr_la_5090_graph_wavenet_lite_adaptive_h12_s42,graph_wavenet_lite,adaptive,12.0,42.0,4.899028895948124,12.13151670541369,11.013121734135629,False
success,metr_la_5090_graph_wavenet_lite_adaptive_h12_s43,graph_wavenet_lite,adaptive,12.0,43.0,4.866775173133136,12.091085005835252,11.132352687679013,False
success,metr_la_5090_graph_wavenet_lite_adaptive_h12_s44,graph_wavenet_lite,adaptive,12.0,44.0,4.890791487022387,12.192047348689783,11.266465276587802,False
